,text
184,"#JMM2020 #DisruptJMM 
Adriana Salerno user250 starts her talk by encouraging people to help diversify the pool of invited speakers at JMM:
https://t.co/X4Utbs1UW0 https://t.co/d0SanJRGDY"
185,An important #JEDI event at #JMM2020. #DisruptJMM https://t.co/DosVE4qiwh
186,"user130 user266 user308 user36 user102 user172 user230 I think maybe there could be a post about the hashtag, some examples of what people have done, and then maybe invite people to comment or preview on other #disruptJMM things? I think user266 or user36 could talk about the meetups that have happened too..."
187,For #DisruptJMM user308 showed user119 s tweet and reminded us that our words matter and if the idea of freedom of expression is more important than the lives of actual people then 🙄😒 https://t.co/BkRtE76Rxz
188,"I am mostly attending invited addresses for the JMM2020 Blog (https://t.co/FxwkfEr7Hb). Anyone that has gone to some of the #DisruptJMM
events want to write about them for the blog? user266 user250 user308 user36 user102 user172 user230"
189,Started the IBL Minicourse with a #DisruptJMM slide: The status quo neither serves nor empowers most students.  We can do better.  We have to do better.
190,So I just took a bit of time to read some old #disruptJMM tweets and I just have to say - I miss y'all! &lt;3
191,user172 But like research isn't what's on my mind is like my big problem right now. like remember #DisruptJMM happened in the before times. When i still had hope lol.
192,"user64 user184 For me the interest is in conferences like the upcoming one from user294  I don't doubt JMM has other utility for e.g. TT faculty or aspiring profs, &amp;: reading about DisruptJMM rationale of yore + the AMS diversity letter kerfuffle &amp; predictive police speakers? Not for me! 🙃"
193,user36 #disruptJMM !!!
194,#projectnext #disruptmath #disruptjmm #iteachmath user217
195,#disruptJMM #JMM2021 #disruptmath #Arising Order From Disordered System through interactions https://t.co/u4rL506zmf
196,.user144 with a great #disruptJMM slide about how the principles used in studying complex systems can be extrapolated to inspire action. #JMM2021 https://t.co/FNFWlIPV6K
197,"""Every professional decision we make is an opportunity to promote equity."" user151 gave a great talk, and started it with a great call to everyone present to stop feeling powerless and ACT. #disruptJMM"
198,"user78 Thanks for this. You inspired me to do the same. I spoke up against the statement at the beginning of my talk, and was suprised by how many of the attendees were not even aware of the AMS/MAA statement. I am seriously considering whether to attend JMM in the future #disruptJMM"
199,Haimo presentation part 2: user217 uses his privilege to #disruptJMM user235 #JMM2021. https://t.co/j985lyeY0G
200,"user217 user235 I appreciate user217 for taking half of his talk to share his story, his experiences, and those things that he has seen in the mathematics community that need to be addressed. #DisruptJMM #DisruptMath https://t.co/QgTJsmBwu8"
201,"Thank you boss (user217  for being vulnerable and talking from you shortcoming and not just from your successes.

#DisruptJMM #DisruptMath"
202,"""Those with less power see situations more clearly."" Great line by user217 #disruptJMM"
203,"Halfway through his Haimo presentation, user217 restarted with a #disruptJMM version, with a new introduction acknowledging his privilege and grappling with being recognized within an assimilationist model of math teaching and equity. #JMM2021"
204,"My Grandma and her life philosophy: wherever you go, leave that place better than you found it. 
My students use math to make user374 a better institution. 

#UncommonInspirations #DisruptMath #DisruptJMM"
205,THIS IS ALL THE THINGS.  #JMM2021 #disruptmath #disruptJMM https://t.co/TJWb3SLLXS
206,"How maths can help you thrive during the pandemic, from chaos theory to the hairy ball theorem and the harmonic series!  #jmm21 #mathchat #mathschat #disruptJMM #JMM2021 https://t.co/fTYiRxZYeB"
207,I gave a talk on Wednesday at user197 and started with the slide in the first photo and read the test from the 2nd photo. It felt great to say it outloud and I hope more people will feel compelled to #DisruptJMM https://t.co/bTMqFXqnNp
208,Honored for the award - nervous for the talk. #disruptJMM https://t.co/ayidc6pTH5
209,"#DisruptJMM, using every colour. Also this is the first time I used notability for a talk! https://t.co/HXwZwAzQvu"
